information_type,original_variable,original_coding,sensitivity_calculation,reverse_coding,standardization,centering,mean_consent,uncentered_sensitivity_proxy,final_centered_sensitivity_score,n
Financial account,q29_8,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,1.93327239488117,-1.93327239488117,0.8521633150517975,1094
Credit information,q29_9,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,2.041133455210238,-2.041133455210238,0.7443022547227298,1094
Habits/preferences,q29_15,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,2.2842778793418645,-2.2842778793418645,0.5011578305911031,1094
Photograph,q29_10,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,2.335466179159049,-2.335466179159049,0.44996953077391844,1094
Family information,q29_11,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,2.424131627056673,-2.424131627056673,0.3613040828762948,1094
Communication records,q29_14,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,2.4314442413162705,-2.4314442413162705,0.35399146861669717,1094
Medical information,q29_12,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,2.7184643510054847,-2.7184643510054847,0.06697135892748296,1094
Affiliation,q29_7,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,2.753199268738574,-2.753199268738574,0.03223644119439362,1094
Home address,q29_5,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,2.793418647166362,-2.793418647166362,-0.00798293723339416,1094
Location information,q29_13,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,2.9323583180987205,-2.9323583180987205,-0.14692260816575287,1094
Email address,q29_6,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,3.162705667276051,-3.162705667276051,-0.37726995734308355,1094
Phone number,q29_3,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,3.264168190127971,-3.264168190127971,-0.47873248019500325,1094
Date of birth,q29_4,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,3.3053016453382082,-3.3053016453382082,-0.5198659354052406,1094
Name,q29_1,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,3.6224862888482634,-3.6224862888482634,-0.8370505789152958,1094
Gender,q29_2,1-5 consent to government collection of this information type; higher = more consent,item_sensitivity_proxy = -mean(consent_ij by information type); centered proxy subtracts the grand mean of this proxy,Yes: lower average consent is treated as higher sensitivity by multiplying by -1,No z-standardization,Yes for model term item_sensitivity_proxy_c,3.779707495429616,-3.779707495429616,-0.9942717854966485,1094
